,District_Name,Year,Male,Female,Total,Population_Density,Sex_Ratio,Literacy_Rate
102,RAIGARH,2014,1412360.0999999999,1349721.1999999986,2762081.3000000007,385.6999999999996,953.8999999999996,84.7999999999999
103,RAIGARH,2015,1435031.7999999998,1369676.5999999987,2804708.400000001,391.5999999999996,952.1999999999997,85.3999999999999
104,RATNAGIRI,2012,757783.300000001,849114.8999999999,1606898.1999999997,196.00000000000009,1120.5999999999983,82.70000000000007
105,RATNAGIRI,2013,754445.6000000009,844281.7999999999,1598727.3999999997,195.00000000000009,1119.1999999999985,83.40000000000008
106,RATNAGIRI,2014,751107.900000001,839448.6999999998,1590556.5999999999,194.00000000000009,1117.7999999999984,84.10000000000007
107,RATNAGIRI,2015,747770.2000000009,834615.5999999999,1582385.7999999998,193.00000000000009,1116.3999999999985,84.80000000000007
108,SANGLI,2012,1447291.9999999998,1398712.8999999978,2846004.9,331.8000000000002,966.8999999999996,81.4000000000001
109,SANGLI,2013,1458855.9999999998,1411010.799999998,2869866.8,334.6000000000002,967.7999999999996,81.8000000000001
110,SANGLI,2014,1470419.9999999998,1423308.6999999979,2893728.7,337.40000000000015,968.6999999999997,82.2000000000001
111,SANGLI,2015,1481983.9999999998,1435606.599999998,2917590.6,340.20000000000016,969.5999999999997,82.6000000000001
112,SATARA,2012,1521093.600000002,1502122.100000002,3023215.700000004,288.8999999999997,987.2999999999996,83.49999999999993
113,SATARA,2013,1531345.2000000018,1511345.2000000018,3042690.4000000036,290.7999999999997,986.5999999999997,83.99999999999993
114,SATARA,2014,1541596.800000002,1520568.300000002,3062165.100000004,292.6999999999997,985.8999999999996,84.49999999999993
115,SATARA,2015,1551848.4000000018,1529791.4000000018,3081639.8000000035,294.59999999999974,985.1999999999997,84.99999999999993
116,SINDHUDURG,2012,417276.19999999995,430457.40000000043,847733.6000000001,162.59999999999985,1031.7000000000012,86.6
117,SINDHUDURG,2013,417220.39999999997,428595.8000000004,845816.2000000001,162.19999999999985,1027.4000000000012,87.2
118,SINDHUDURG,2014,417164.5999999999,426734.2000000004,843898.8000000002,161.79999999999987,1023.1000000000012,87.8
119,SINDHUDURG,2015,417108.79999999993,424872.6000000004,841981.4000000001,161.39999999999986,1018.8000000000011,88.4
120,SOLAPUR,2012,2251674.8999999985,2112902.399999998,4364577.299999999,293.1999999999998,938.2999999999996,77.59999999999992
121,SOLAPUR,2013,2275497.7999999984,2135900.799999998,4411398.599999999,296.3999999999998,938.5999999999997,78.19999999999993
122,SOLAPUR,2014,2299320.699999999,2158899.1999999983,4458219.899999999,299.59999999999985,938.8999999999996,78.79999999999993
123,SOLAPUR,2015,2323143.5999999987,2181897.599999998,4505041.199999999,302.79999999999984,939.1999999999997,79.39999999999993
124,THANE,2012,6013811.099999993,5339166.799999998,11352977.900000002,1187.6000000000001,888.7999999999992,85.4
125,THANE,2013,6162544.199999994,5483263.599999998,11645807.800000003,1218.2000000000003,891.5999999999992,85.8
126,THANE,2014,6311277.299999993,5627360.3999999985,11938637.700000001,1248.8000000000002,894.3999999999992,86.2
127,THANE,2015,6460010.399999994,5771457.199999998,12231467.600000001,1279.4000000000003,897.1999999999992,86.6
128,WARDHA,2012,671324.5,635853.3000000007,1307177.7999999996,206.99999999999991,947.1000000000004,87.70000000000005
129,WARDHA,2013,674264.0,639317.6000000007,1313581.5999999996,207.99999999999991,948.2000000000004,88.40000000000005
130,WARDHA,2014,677203.5,642781.9000000007,1319985.3999999994,208.99999999999991,949.3000000000003,89.10000000000004
131,WARDHA,2015,680143.0,646246.2000000007,1326389.1999999995,209.99999999999991,950.4000000000003,89.80000000000004
132,WASHIM,2012,629722.8000000004,585131.6,1214854.3999999992,247.60000000000008,929.1000000000004,84.00000000000003
133,WASHIM,2013,639143.6000000003,593405.2,1232548.7999999993,251.20000000000007,928.2000000000004,85.00000000000003
134,WASHIM,2014,648564.4000000004,601678.8,1250243.1999999993,254.8000000000001,927.3000000000003,86.00000000000003
135,WASHIM,2015,657985.2000000003,609952.4,1267937.5999999994,258.4000000000001,926.4000000000003,87.00000000000003
136,YAVATMAL,2012,1435393.399999998,1368362.300000001,2803755.7000000044,206.30000000000027,953.0000000000003,83.90000000000003
137,YAVATMAL,2013,1450821.7999999982,1384341.600000001,2835163.400000004,208.60000000000025,954.0000000000003,84.80000000000003
138,YAVATMAL,2014,1466250.199999998,1400320.9000000008,2866571.1000000043,210.90000000000026,955.0000000000003,85.70000000000003
139,YAVATMAL,2015,1481678.5999999982,1416300.200000001,2897978.800000004,213.20000000000024,956.0000000000003,86.60000000000002
