,City_Town_Village_Area,Type_of_Location,TS,year_number,month_number,NO2,RSPM_PM10,SO2,SPM,SO2_MOM_diff,month_number_diff,NO2_MOM_diff,RSPM_PM10_MOM_diff,SPM_MOM_diff
224,Amravati,Residential,20080090,2008,9,12.7,45.0,9.3,,-0.1999999999999993,1.0,0.8999999999999986,-2.0,
225,Amravati,Residential,20080100,2008,10,12.9,71.5,10.5,,1.1999999999999993,1.0,0.20000000000000107,26.5,
226,Amravati,Residential,20080110,2008,11,12.25,71.0,10.2,,-0.3000000000000007,1.0,-0.6500000000000004,-0.5,
227,Amravati,Residential,20080120,2008,12,12.7,87.0,10.2,,0.0,1.0,0.4499999999999993,16.0,
228,Amravati,Residential,20090010,2009,1,12.3,92.0,10.0,,-0.1999999999999993,-11.0,-0.3999999999999986,5.0,
229,Amravati,Residential,20090020,2009,2,12.8,85.0,10.7,,0.6999999999999993,1.0,0.5,-7.0,
230,Amravati,Residential,20090030,2009,3,13.05,86.0,10.65,,-0.049999999999998934,1.0,0.25,1.0,
231,Amravati,Residential,20090040,2009,4,14.7,98.0,12.7,,2.049999999999999,1.0,1.6499999999999986,12.0,
232,Amravati,Residential,20090050,2009,5,12.75,88.0,11.25,,-1.4499999999999993,1.0,-1.9499999999999993,-10.0,
233,Amravati,Residential,20090060,2009,6,13.5,93.0,10.8,,-0.4499999999999993,1.0,0.75,5.0,
234,Amravati,Residential,20090070,2009,7,12.8,80.0,11.2,,0.3999999999999986,1.0,-0.6999999999999993,-13.0,
235,Amravati,Residential,20090080,2009,8,12.7,83.0,10.8,,-0.3999999999999986,1.0,-0.10000000000000142,3.0,
236,Amravati,Residential,20090090,2009,9,13.5,94.0,11.8,,1.0,1.0,0.8000000000000007,11.0,
237,Amravati,Residential,20090100,2009,10,13.45,92.0,11.15,,-0.6500000000000004,1.0,-0.05000000000000071,-2.0,
238,Amravati,Residential,20090110,2009,11,13.5,93.0,11.5,,0.34999999999999964,1.0,0.05000000000000071,1.0,
239,Amravati,Residential,20090120,2009,12,12.2,84.0,10.2,,-1.3000000000000007,1.0,-1.3000000000000007,-9.0,
240,Amravati,Residential,20100010,2010,1,13.0,92.0,12.0,,1.8000000000000007,-11.0,0.8000000000000007,8.0,
241,Amravati,Residential,20100020,2010,2,14.5,114.5,12.0,,0.0,1.0,1.5,22.5,
242,Amravati,Residential,20100030,2010,3,16.0,176.5,13.5,,1.5,1.0,1.5,62.0,
243,Amravati,Residential,20100040,2010,4,15.0,97.5,12.0,,-1.5,1.0,-1.0,-79.0,
244,Amravati,Residential,20100050,2010,5,15.0,92.0,13.0,,1.0,1.0,0.0,-5.5,
245,Amravati,Residential,20100060,2010,6,15.5,133.5,13.5,,0.5,1.0,0.5,41.5,
246,Amravati,Residential,20100070,2010,7,12.0,116.0,9.5,,-4.0,1.0,-3.5,-17.5,
247,Amravati,Residential,20100080,2010,8,13.0,99.5,11.0,,1.5,1.0,1.0,-16.5,
248,Amravati,Residential,20100090,2010,9,14.0,76.0,12.0,,1.0,1.0,1.0,-23.5,
