,City_Town_Village_Area,Type_of_Location,TS,year_number,month_number,NO2_Median,RSPM_PM10_Median,SO2_Median,SPM_Median,Median_SO2_MOM_diff,Median_NO2_MOM_diff,Median_RSPM_PM10_MOM_diff,Median_SPM_MOM_diff,NO2_P10,RSPM_PM10_P10,SO2_P10,SPM_P10,P10_NO2_MOM_diff,P10_SO2_MOM_diff,P10_RSPM_PM10_MOM_diff,P10_SPM_MOM_diff,NO2_P90,RSPM_PM10_P90,SO2_P90,SPM_P90,month_number_diff,P90_NO2_MOM_diff,P90_SO2_MOM_diff,P90_RSPM_PM10_MOM_diff,P90_SPM_MOM_diff
53,Akola,Residential,20110120,2011,12,9.0,134.0,8.0,,1.0,0.0,4.0,,9.0,104.5,5.7,,0.3000000000000007,-0.40000000000000036,-1.4000000000000057,,10.3,137.3,8.0,,1.0,1.0,0.0,4.700000000000017,
54,Akola,Residential,20120010,2012,1,9.0,135.0,8.0,,0.0,0.0,1.0,,7.5,116.0,6.5,,-1.5,0.7999999999999998,11.5,,12.0,167.33,9.5,,-11.0,1.6999999999999993,1.5,30.03,
55,Akola,Residential,20120020,2012,2,9.5,135.0,7.5,,-0.5,0.5,0.0,,7.5,114.0,6.0,,0.0,-0.5,-2.0,,12.0,171.33499999999995,10.0,,1.0,0.0,0.5,4.004999999999939,
56,Akola,Residential,20120030,2012,3,10.0,140.0,8.0,,0.5,0.5,5.0,,8.6,127.4,6.800000000000002,,1.0999999999999996,0.8000000000000016,13.400000000000006,,12.0,177.39800000000002,11.0,,1.0,0.0,1.0,6.063000000000073,
57,Akola,Residential,20120040,2012,4,9.0,148.67,8.0,,0.0,-1.0,8.669999999999987,,9.0,121.0,7.0,,0.40000000000000036,0.1999999999999984,-6.400000000000006,,11.5,173.83,9.5,,1.0,-0.5,-1.5,-3.568000000000012,
58,Akola,Residential,20120050,2012,5,10.0,134.5,9.0,,1.0,1.0,-14.169999999999987,,9.0,127.6,7.3,,0.0,0.2999999999999998,6.599999999999994,,12.0,177.03000000000003,10.7,,1.0,0.5,1.1999999999999993,3.200000000000017,
59,Akola,Residential,20120060,2012,6,9.0,136.0,8.0,,-1.0,-1.0,1.5,,7.6,99.4,5.6,,-1.4000000000000004,-1.7000000000000002,-28.19999999999999,,11.0,164.67,9.0,,1.0,-1.0,-1.6999999999999993,-12.360000000000042,
60,Akola,Residential,20120070,2012,7,8.0,120.0,7.0,,-1.0,-1.0,-16.0,,7.0,92.8,6.0,,-0.5999999999999996,0.40000000000000036,-6.6000000000000085,,11.0,161.6,9.2,,1.0,0.0,0.1999999999999993,-3.069999999999993,
61,Akola,Residential,20120080,2012,8,10.0,115.0,7.0,,0.0,2.0,-5.0,,9.0,78.2,5.2,,2.0,-0.7999999999999998,-14.599999999999994,,11.0,150.26600000000005,8.0,,1.0,0.0,-1.1999999999999993,-11.333999999999946,
62,Akola,Residential,20120090,2012,9,9.0,131.0,8.0,,1.0,-1.0,16.0,,7.6,103.0,6.0,,-1.4000000000000004,0.7999999999999998,24.799999999999997,,10.4,159.268,9.0,,1.0,-0.5999999999999996,1.0,9.001999999999953,
