,City_Town_Village_Area,Type_of_Location,TS,year_number,month_number,NO2_Median,RSPM_PM10_Median,SO2_Median,SPM_Median,Median_SO2_MOM_diff,Median_NO2_MOM_diff,Median_RSPM_PM10_MOM_diff,Median_SPM_MOM_diff,NO2_P10,RSPM_PM10_P10,SO2_P10,SPM_P10,P10_NO2_MOM_diff,P10_SO2_MOM_diff,P10_RSPM_PM10_MOM_diff,P10_SPM_MOM_diff,NO2_P90,RSPM_PM10_P90,SO2_P90,SPM_P90,month_number_diff,P90_NO2_MOM_diff,P90_SO2_MOM_diff,P90_RSPM_PM10_MOM_diff,P90_SPM_MOM_diff,year_number_diff,NO2_Median_YOY_diff,SO2_Median_YOY_diff,RSPM_PM10_Median_YOY_diff,SPM_Median_YOY_diff,NO2_P10_YOY_diff,SO2_P10_YOY_diff,RSPM_PM10_P10_YOY_diff,SPM_P10_YOY_diff,NO2_P90_YOY_diff,SO2_P90_YOY_diff,RSPM_PM10_P90_YOY_diff,SPM_P90_YOY_diff
39,Akola,Industrial,20120120,2012,12,13.0,152.83,11.5,,1.5,1.0,6.5,,10.8,130.16400000000002,8.899999999999997,,-0.1999999999999993,-0.1000000000000032,-10.165999999999997,,14.0,155.80299999999997,12.0,,1.0,2.0,1.0,6.802999999999969,,1.0,0.0,0.0,-0.1699999999999875,,0.40000000000000036,-0.5000000000000036,-6.535999999999973,,0.09999999999999964,-0.3000000000000007,-4.097000000000037,
40,Akola,Industrial,20130120,2013,12,9.0,140.5,8.0,,2.0,2.0,10.5,,9.0,137.0,8.0,,2.3,2.3000000000000016,8.0,,10.0,142.0,8.0,,1.0,2.0,1.0,11.399999999999977,,1.0,-4.0,-3.5,-12.330000000000013,,-1.8000000000000007,-0.8999999999999968,6.835999999999984,,-4.0,-4.0,-13.802999999999969,
41,Akola,Industrial,20150120,2015,12,11.0,131.0,9.0,,0.0,1.0,2.5,,10.0,128.9,8.899999999999997,,1.0,0.8999999999999968,5.1000000000000085,,12.0,134.2,9.1,,1.0,-1.0999999999999996,-2.0999999999999996,-11.900000000000063,,2.0,,,,,,,,,,,,
42,Akola,Residential,20110010,2011,1,8.5,124.0,7.0,,,,,,8.0,123.0,7.0,,,,,,9.0,125.0,7.0,,,,,,,,,,,,,,,,,,,
43,Akola,Residential,20120010,2012,1,9.0,135.0,8.0,,0.0,0.0,1.0,,7.5,116.0,6.5,,-1.5,0.7999999999999998,11.5,,12.0,167.33,9.5,,-11.0,1.6999999999999993,1.5,30.03,,1.0,0.5,1.0,11.0,,-0.5,-0.5,-7.0,,3.0,2.5,42.33000000000001,
44,Akola,Residential,20130010,2013,1,10.0,141.0,8.0,,-1.0,0.0,-2.6699999999999875,,9.0,135.0,8.0,,0.40000000000000036,1.0,10.799999999999997,,11.0,167.53333332,10.0,,-11.0,-1.0,-1.0,-4.536666679999996,,1.0,1.0,0.0,6.0,,1.5,1.5,19.0,,-1.0,0.5,0.2033333199999845,
45,Akola,Residential,20140010,2014,1,9.0,159.0,9.0,,2.0,1.0,31.0,,8.8,136.79999999999998,7.8,,0.8000000000000007,1.0999999999999996,14.09999999999998,,11.0,162.20000000000005,9.0,,-11.0,3.0,1.6999999999999984,9.766666680000014,,1.0,-1.0,1.0,18.0,,-0.1999999999999993,-0.20000000000000018,1.799999999999983,,0.0,-1.0,-5.3333333199999515,
46,Akola,Residential,20150010,2015,1,8.0,141.5,7.0,,-1.0,-1.0,-0.5,,7.0,113.0,6.0,,-1.4000000000000004,-0.7000000000000002,-18.400000000000006,,9.0,148.0,8.0,,-11.0,-1.3000000000000007,-0.5999999999999996,-6.699999999999989,,1.0,-1.0,-2.0,-17.5,,-1.8000000000000007,-1.7999999999999998,-23.799999999999983,,-2.0,-1.0,-14.200000000000045,
47,Akola,Residential,20110020,2011,2,9.0,127.5,8.0,,1.0,0.5,3.5,,8.0,124.0,7.0,,0.0,0.0,1.0,,10.0,131.0,9.0,,1.0,1.0,2.0,6.0,,-4.0,,,,,,,,,,,,
48,Akola,Residential,20120020,2012,2,9.5,135.0,7.5,,-0.5,0.5,0.0,,7.5,114.0,6.0,,0.0,-0.5,-2.0,,12.0,171.33499999999995,10.0,,1.0,0.0,0.5,4.004999999999939,,1.0,0.5,-0.5,7.5,,-0.5,-1.0,-10.0,,2.0,1.0,40.33499999999995,
49,Akola,Residential,20130020,2013,2,9.0,140.0,8.0,,0.0,-1.0,-1.0,,8.0,128.6666667,7.0,,-1.0,-1.0,-6.3333332999999925,,10.5,158.0,9.0,,1.0,-0.5,-1.0,-9.533333319999997,,1.0,-0.5,0.5,5.0,,0.5,1.0,14.666666700000007,,-1.5,-1.0,-13.334999999999951,
