,City_Town_Village_Area,Type_of_Location,month_number,year_number,NO2,RSPM_PM10,SO2,SPM
334,Aurangabad,Residential,3,2009,31.840000000000003,129.20000000000002,9.08,485.20000000000005
335,Aurangabad,Residential,3,2010,26.017833331000002,104.87999998999999,8.0,361.6
336,Aurangabad,Residential,3,2011,36.4,122.4,10.4,
337,Aurangabad,Residential,3,2012,34.3,118.5,11.0,
338,Aurangabad,Residential,3,2013,41.0,113.30000000000001,13.0,
339,Aurangabad,Residential,3,2014,44.0,136.5,14.5,
340,Aurangabad,Residential,3,2015,44.0,101.5,14.0,
341,Aurangabad,Residential,4,2006,39.8,122.70000000000002,6.04,300.00000000000006
342,Aurangabad,Residential,4,2007,23.69,100.4,5.91,326.8
343,Aurangabad,Residential,4,2008,24.760000000000005,107.60000000000002,10.080000000000002,365.59999999999997
344,Aurangabad,Residential,4,2009,34.4,106.5,8.32,460.5
345,Aurangabad,Residential,4,2010,27.0,100.69399999000001,7.6,320.8
346,Aurangabad,Residential,4,2011,36.3,108.9,11.3,
347,Aurangabad,Residential,4,2012,33.4,108.8,10.0,
348,Aurangabad,Residential,4,2013,43.400000000000006,159.8,11.4,
349,Aurangabad,Residential,4,2014,40.5,106.5,12.0,
350,Aurangabad,Residential,4,2015,42.0,115.9,13.0,
351,Aurangabad,Residential,5,2006,31.940000000000005,101.80000000000001,6.21,259.90000000000003
352,Aurangabad,Residential,5,2007,25.5,120.5,5.8,385.0
353,Aurangabad,Residential,5,2008,26.279999999999994,135.9,10.759999999999998,342.50000000000006
354,Aurangabad,Residential,5,2009,28.25,113.50000000000003,8.0,508.6
355,Aurangabad,Residential,5,2010,24.6,121.5925,6.6613333332,347.5
356,Aurangabad,Residential,5,2011,34.0,103.0,10.0,
357,Aurangabad,Residential,5,2012,32.7,91.4,10.600000000000001,
358,Aurangabad,Residential,5,2013,41.8,138.2,11.399999999999999,
359,Aurangabad,Residential,5,2014,46.0,100.80000000000001,13.100000000000001,
360,Aurangabad,Residential,5,2015,39.0,93.8,12.0,
361,Aurangabad,Residential,6,2006,25.86,91.5,7.08,212.0
362,Aurangabad,Residential,6,2007,27.9,117.5,5.8,351.0
