City_Town_Village_Area,Type_of_Location,TS,year_number,month_number,year_number_diff,NO2_Median_YOY_diff,NO2_Median,Median_NO2_MOM_diff
Amravati,Residential,20120040,2012,4,1,0,14,1
Amravati,Residential,20130040,2013,4,1,-1,13,0
Amravati,Residential,20140040,2014,4,1,0,13,0
Amravati,Residential,20150040,2015,4,1,1,14,0
Amravati,Residential,20060050,2006,5,-9,,9.5,-4.35
Amravati,Residential,20070050,2007,5,1,3.9,13.4,-2.7
Amravati,Residential,20080050,2008,5,1,0.9,14.3,4.2
Amravati,Residential,20090050,2009,5,1,-1.55,12.75,-1.95
Amravati,Residential,20100050,2010,5,1,2.25,15,0
Amravati,Residential,20110050,2011,5,1,-1,14,0
Amravati,Residential,20120050,2012,5,1,1,15,1
Amravati,Residential,20140050,2014,5,2,,13,0
Amravati,Residential,20060060,2006,6,-8,,22.4,12.9
Amravati,Residential,20070060,2007,6,1,-12.8,9.6,-3.8
Amravati,Residential,20080060,2008,6,1,1.4,11,-3.3
Amravati,Residential,20090060,2009,6,1,2.5,13.5,0.75
Amravati,Residential,20100060,2010,6,1,2,15.5,0.5
Amravati,Residential,20110060,2011,6,1,-2.5,13,-1
Amravati,Residential,20120060,2012,6,1,0,13,-2
Amravati,Residential,20130060,2013,6,1,0,13,
Amravati,Residential,20140060,2014,6,1,0,13,0
Amravati,Residential,20150060,2015,6,1,1,14,
Amravati,Residential,20070070,2007,7,-8,,10.25,0.65
Amravati,Residential,20080070,2008,7,1,-1.45,8.8,-2.2
Amravati,Residential,20090070,2009,7,1,4,12.8,-0.7
Amravati,Residential,20100070,2010,7,1,-0.8,12,-3.5
Amravati,Residential,20110070,2011,7,1,1,13,0
Amravati,Residential,20120070,2012,7,1,0,13,0
Amravati,Residential,20130070,2013,7,1,-0.5,12.5,-0.5
Amravati,Residential,20140070,2014,7,1,0.5,13,0
Amravati,Residential,20070080,2007,8,-7,,11.8,1.55
Amravati,Residential,20080080,2008,8,1,0,11.8,3
Amravati,Residential,20090080,2009,8,1,0.9,12.7,-0.1
Amravati,Residential,20100080,2010,8,1,0.3,13,1
Amravati,Residential,20110080,2011,8,1,-1,12,-1
Amravati,Residential,20120080,2012,8,1,0.5,12.5,-0.5
Amravati,Residential,20130080,2013,8,1,0.5,13,0.5
Amravati,Residential,20140080,2014,8,1,0,13,0
Amravati,Residential,20150080,2015,8,1,0,13,
Amravati,Residential,20060090,2006,9,-9,,23.2,
Amravati,Residential,20070090,2007,9,1,-10.5,12.7,0.9
Amravati,Residential,20080090,2008,9,1,0,12.7,0.9
Amravati,Residential,20090090,2009,9,1,0.8,13.5,0.8
Amravati,Residential,20100090,2010,9,1,0.5,14,1
Amravati,Residential,20110090,2011,9,1,-1,13,1
Amravati,Residential,20120090,2012,9,1,0,13,0.5
Amravati,Residential,20130090,2013,9,1,0,13,0
Amravati,Residential,20140090,2014,9,1,0,13,0
Amravati,Residential,20150090,2015,9,1,0,13,0
Amravati,Residential,20060100,2006,10,-9,,19.3,-3.9
Amravati,Residential,20070100,2007,10,1,-9.4,9.9,-2.8
Amravati,Residential,20080100,2008,10,1,3,12.9,0.2
Amravati,Residential,20090100,2009,10,1,0.55,13.45,-0.05
Amravati,Residential,20100100,2010,10,1,1.55,15,1
Amravati,Residential,20110100,2011,10,1,-2,13,0
Amravati,Residential,20120100,2012,10,1,0,13,0
Amravati,Residential,20130100,2013,10,1,0,13,0
Amravati,Residential,20140100,2014,10,1,0,13,0
Amravati,Residential,20150100,2015,10,1,0.5,13.5,0.5
Amravati,Residential,20060110,2006,11,-9,,19.1,-0.2
Amravati,Residential,20070110,2007,11,1,-6.2,12.9,3
Amravati,Residential,20080110,2008,11,1,-0.65,12.25,-0.65
Amravati,Residential,20090110,2009,11,1,1.25,13.5,0.05
Amravati,Residential,20100110,2010,11,1,0.5,14,-1
Amravati,Residential,20110110,2011,11,1,-1,13,0
Amravati,Residential,20120110,2012,11,1,1,14,1
Amravati,Residential,20130110,2013,11,1,-1,13,0
Amravati,Residential,20140110,2014,11,1,0,13,0
Amravati,Residential,20150110,2015,11,1,1,14,0.5
Amravati,Residential,20060120,2006,12,-9,,12.3,-6.8
Amravati,Residential,20070120,2007,12,1,0.15,12.45,-0.45
Amravati,Residential,20080120,2008,12,1,0.25,12.7,0.45
Amravati,Residential,20090120,2009,12,1,-0.5,12.2,-1.3
Amravati,Residential,20100120,2010,12,1,2.8,15,1
Amravati,Residential,20110120,2011,12,1,-1,14,1
Amravati,Residential,20120120,2012,12,1,-1,13,-1
Amravati,Residential,20130120,2013,12,1,1,14,1
Amravati,Residential,20140120,2014,12,1,-1,13,0
Amravati,Residential,20150120,2015,12,1,0,13,-1
Aurangabad,Residential,20060010,2006,1,,,29.5,1
Aurangabad,Residential,20070010,2007,1,1,-7.6,21.9,0.2
Aurangabad,Residential,20080010,2008,1,1,0.5,22.4,-4.9
Aurangabad,Residential,20090010,2009,1,1,5.6,28,-2.8
Aurangabad,Residential,20100010,2010,1,1,-6,22,0.8
Aurangabad,Residential,20110010,2011,1,1,10.5,32.5,2.5
Aurangabad,Residential,20120010,2012,1,1,10,42.5,1.5
Aurangabad,Residential,20130010,2013,1,1,1.5,44,3
Aurangabad,Residential,20140010,2014,1,1,6,50,2
Aurangabad,Residential,20150010,2015,1,1,6,56,2
Aurangabad,Residential,20050020,2005,2,-10,,27.5,
Aurangabad,Residential,20060020,2006,2,1,-1.2,26.3,-3.2
Aurangabad,Residential,20070020,2007,2,1,-8.3,18,-3.9
Aurangabad,Residential,20080020,2008,2,1,9.6,27.6,5.2
Aurangabad,Residential,20090020,2009,2,1,2.5,30.1,2.1
Aurangabad,Residential,20100020,2010,2,1,-5.67833333,24.42166667,2.42166667
Aurangabad,Residential,20110020,2011,2,1,6.07833333,30.5,-2
Aurangabad,Residential,20120020,2012,2,1,6.5,37,-5.5
Aurangabad,Residential,20130020,2013,2,1,6,43,-1
Aurangabad,Residential,20140020,2014,2,1,2,45,-5
Aurangabad,Residential,20150020,2015,2,1,1.5,46.5,-9.5
Aurangabad,Residential,20050030,2005,3,-10,,30.2,2.7
Aurangabad,Residential,20060030,2006,3,1,-10,20.2,-6.1
Aurangabad,Residential,20070030,2007,3,1,-0.5,19.7,1.7
Aurangabad,Residential,20080030,2008,3,1,-3.3,16.4,-11.2
Aurangabad,Residential,20090030,2009,3,1,12.8,29.2,-0.9
Aurangabad,Residential,20100030,2010,3,1,-7.336666665,21.86333334,-2.558333335
Aurangabad,Residential,20110030,2011,3,1,9.136666665,31,0.5
Aurangabad,Residential,20120030,2012,3,1,0.5,31.5,-5.5
Aurangabad,Residential,20130030,2013,3,1,7.5,39,-4
Aurangabad,Residential,20140030,2014,3,1,2.5,41.5,-3.5
Aurangabad,Residential,20150030,2015,3,1,1.5,43,-3.5
Aurangabad,Residential,20060040,2006,4,-9,,18.8,-1.4
Aurangabad,Residential,20070040,2007,4,1,0.3,19.1,-0.6
Aurangabad,Residential,20080040,2008,4,1,-4.1,15,-1.4
Aurangabad,Residential,20090040,2009,4,1,9.6,24.6,-4.6
Aurangabad,Residential,20100040,2010,4,1,-2.6,22,0.136666665
Aurangabad,Residential,20110040,2011,4,1,9.5,31.5,0.5
Aurangabad,Residential,20120040,2012,4,1,-2.5,29,-2.5
Aurangabad,Residential,20130040,2013,4,1,6,35,-4
Aurangabad,Residential,20140040,2014,4,1,2,37,-4.5
Aurangabad,Residential,20150040,2015,4,1,3.5,40.5,-2.5
Aurangabad,Residential,20060050,2006,5,-9,,18,-0.8
Aurangabad,Residential,20070050,2007,5,1,1.3,19.3,0.2
Aurangabad,Residential,20080050,2008,5,1,-5.9,13.4,-1.6
Aurangabad,Residential,20090050,2009,5,1,11,24.4,-0.2
Aurangabad,Residential,20100050,2010,5,1,-5.4,19,-3
Aurangabad,Residential,20110050,2011,5,1,12.5,31.5,0
Aurangabad,Residential,20120050,2012,5,1,-2.5,29,0
Aurangabad,Residential,20130050,2013,5,1,5,34,-1
Aurangabad,Residential,20140050,2014,5,1,6,40,3
Aurangabad,Residential,20150050,2015,5,1,-2,38,-2.5
Aurangabad,Residential,20060060,2006,6,-9,,17.2,-0.8
Aurangabad,Residential,20070060,2007,6,1,2.85,20.05,0.75
Aurangabad,Residential,20080060,2008,6,1,-0.45,19.6,6.2
Aurangabad,Residential,20090060,2009,6,1,3.8,23.4,-1
